StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YES-REE------0,MAW,B10,440
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YES-REE------0,MAW,B10,376
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YES-REE------0,MAW,B10,440
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YES-REE------0,MAW,B10,504
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YES-REE------0,MAW,B10,728
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YES-REE------0,MAW,B10,1000
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YES-REE------0,MAW,B10,872
2023-01-01T16:30+00:00Z,2023-01-01T16:45+00:00Z,10YES-REE------0,MAW,B10,1076
2023-01-01T16:45+00:00Z,2023-01-01T17:00+00:00Z,10YES-REE------0,MAW,B10,1184
2023-01-01T17:00+00:00Z,2023-01-01T17:15+00:00Z,10YES-REE------0,MAW,B10,940
2023-01-01T17:15+00:00Z,2023-01-01T17:30+00:00Z,10YES-REE------0,MAW,B10,1180
2023-01-01T17:30+00:00Z,2023-01-01T17:45+00:00Z,10YES-REE------0,MAW,B10,1232
2023-01-01T17:45+00:00Z,2023-01-01T18:00+00:00Z,10YES-REE------0,MAW,B10,1356
2023-01-01T18:00+00:00Z,2023-01-01T18:15+00:00Z,10YES-REE------0,MAW,B10,1448
2023-01-01T18:15+00:00Z,2023-01-01T18:30+00:00Z,10YES-REE------0,MAW,B10,1520
2023-01-01T18:30+00:00Z,2023-01-01T18:45+00:00Z,10YES-REE------0,MAW,B10,1560
2023-01-01T18:45+00:00Z,2023-01-01T19:00+00:00Z,10YES-REE------0,MAW,B10,1664
2023-01-01T19:00+00:00Z,2023-01-01T19:15+00:00Z,10YES-REE------0,MAW,B10,1836
2023-01-01T19:15+00:00Z,2023-01-01T19:30+00:00Z,10YES-REE------0,MAW,B10,1892
2023-01-01T19:30+00:00Z,2023-01-01T19:45+00:00Z,10YES-REE------0,MAW,B10,2012
2023-01-01T19:45+00:00Z,2023-01-01T20:00+00:00Z,10YES-REE------0,MAW,B10,2100
2023-01-01T20:00+00:00Z,2023-01-01T20:15+00:00Z,10YES-REE------0,MAW,B10,2376
2023-01-01T20:15+00:00Z,2023-01-01T20:30+00:00Z,10YES-REE------0,MAW,B10,2328
2023-01-01T20:30+00:00Z,2023-01-01T20:45+00:00Z,10YES-REE------0,MAW,B10,2152
2023-01-01T20:45+00:00Z,2023-01-01T21:00+00:00Z,10YES-REE------0,MAW,B10,1912
2023-01-01T21:00+00:00Z,2023-01-01T21:15+00:00Z,10YES-REE------0,MAW,B10,1724
2023-01-01T21:15+00:00Z,2023-01-01T21:30+00:00Z,10YES-REE------0,MAW,B10,1556
2023-01-01T21:30+00:00Z,2023-01-01T21:45+00:00Z,10YES-REE------0,MAW,B10,1308
2023-01-01T21:45+00:00Z,2023-01-01T22:00+00:00Z,10YES-REE------0,MAW,B10,1200
2023-01-01T22:00+00:00Z,2023-01-01T22:15+00:00Z,10YES-REE------0,MAW,B10,1128
2023-01-01T22:15+00:00Z,2023-01-01T22:30+00:00Z,10YES-REE------0,MAW,B10,660
2023-01-01T22:30+00:00Z,2023-01-01T22:45+00:00Z,10YES-REE------0,MAW,B10,456
2023-01-01T22:45+00:00Z,2023-01-01T23:00+00:00Z,10YES-REE------0,MAW,B10,288
2023-01-01T23:00+00:00Z,2023-01-01T23:15+00:00Z,10YES-REE------0,MAW,B10,168
2023-01-01T23:15+00:00Z,2023-01-01T23:30+00:00Z,10YES-REE------0,MAW,B10,108
2023-01-01T23:30+00:00Z,2023-01-01T23:45+00:00Z,10YES-REE------0,MAW,B10,28
